Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
"நடராஜர் சித்திரை ஓணம் மஹாபிஷேகம்",2024-05-01,04:00,2024-05-01,05:00,False,५१२६ क्रोधी-मेषः-१८: अद्य நடராஜர் சித்திரை ஓணம் மஹாபிஷேகம்! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0082.png
"नर्मदा-आद्य-पुष्कर-आरम्भः",2024-05-01,05:00,2024-05-01,06:00,False,५१२६ क्रोधी-मेषः-१८: अद्य नर्मदा-आद्य-पुष्कर-आरम्भः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0083.png
"श्रवण-व्रतम्",2024-05-01,05:00,2024-05-01,06:00,False,५१२६ क्रोधी-मेषः-१८: अद्य श्रवण-व्रतम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0084.png
"केचिन्निषिद्ध-विषयाः",2024-05-01,05:00,2024-05-01,06:00,False,५१२६ क्रोधी-मेषः-१८: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0085.png
"केचिन्निषिद्ध-विषयाः",2024-05-02,04:00,2024-05-02,05:00,False,५१२६ क्रोधी-मेषः-१९: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0086.png
"திருநாவுக்கரச நாயன்மார் (21) குருபூஜை",2024-05-03,04:00,2024-05-03,05:00,False,५१२६ क्रोधी-मेषः-२०: अद्य திருநாவுக்கரச நாயன்மார் (21) குருபூஜை! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0087.png
"केचिन्निषिद्ध-विषयाः",2024-05-03,04:00,2024-05-03,05:00,False,५१२६ क्रोधी-मेषः-२०: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0088.png
"अग्निनक्षत्र-आरम्भः 09:29▶",2024-05-04,04:00,2024-05-04,05:00,False,५१२६ क्रोधी-मेषः-२१: अद्य अग्निनक्षत्र-आरम्भः 09:29▶! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0089.png
"सर्व-वरूथिनी-एकादशी",2024-05-04,04:00,2024-05-04,05:00,False,५१२६ क्रोधी-मेषः-२१: अद्य सर्व-वरूथिनी-एकादशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0090.png
"त्रिपुष्कर-योगः 20:39▶22:06",2024-05-04,04:00,2024-05-04,05:00,False,५१२६ क्रोधी-मेषः-२१: अद्य त्रिपुष्कर-योगः 20:39▶22:06! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0091.png
"वैधृति-श्राद्धम्",2024-05-04,05:00,2024-05-04,06:00,False,५१२६ क्रोधी-मेषः-२१: अद्य वैधृति-श्राद्धम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0092.png
"वल्लभाचार्य-जयन्ती #५४६",2024-05-04,05:00,2024-05-04,06:00,False,५१२६ क्रोधी-मेषः-२१: अद्य वल्लभाचार्य-जयन्ती #५४६! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0093.png
